=== Zeal Spreadsheet Baseline Extraction Report ===
Workbook : C:\Users\kandt\OneDrive - Umich\Zeal Cards\Pricing\GiftCardPricingData_2025.xlsx
Generated: 2026-05-02T21:28:33Z

Note: confidence='high' is passed to compute_prices for all rows.
Confidence affects PriceRecommendation.confidence only, not the four
numeric outputs — it does not affect any diff in this report.

--- Classification summary ---
  normal              : 265
  no_ebay_data_local  : 25
  bankrupt_broken     : 4
  section_divider     : 2
  skip_blank          : 2
  total               : 298

--- Global constants extracted ---
  ebay_sale_costs                : 0.13
  paypal_sell_costs              : 0.03
  ebay_postage_costs             : 0.01
  online_store_postage_costs     : 0.03
  online_sell_bonus_competitive  : 0.065
  online_sell_bonus_zen_nocomp   : 0.085
  in_store_bad_debt              : 0.048
  in_mail_bad_debt               : 0.02
  online_bad_debt                : 0.05

--- Merchant baseline diffs ---
 Row | Slug                           | Tier | Status   |  OS     |  IM     |  IS     |  EB     | Notes
  78 | marriott                       | NC   | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
  79 | movietickets_com               | NC   | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  80 | regal_entertainment_group      | NC   | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  81 | ruby_tuesday                   | NC   | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
  82 | ticketmaster                   | NC   | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  83 | covid_watch_list               | NC   | MISMATCH | !0.0173 | !0.1455 | !0.2733 | MISMATCH(ss=0.3695,eng='No') | tier missing from column G; defaulted to NC; e_bonus_unresolved: electronic_eligible forced False
  84 | abercrombie                    | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  85 | academy_sports_outdoors        | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  86 | ace_hardware                   | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  87 | adidas                         | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  88 | advance_auto_parts             | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  89 | aeropostale                    | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  90 | american_eagle_outfitters      | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  91 | anthropologie                  | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  92 | applebee_s                     | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  93 | athleta_br_gap_on              | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  94 | autozone                       | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  95 | barnes_noble                   | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  96 | bass_pro_shops_cabelas         | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  97 | bath_body_works                | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  98 | bd_s_mongolian_grill           | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  99 | belk                           | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 100 | benihana                       | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 101 | bloomingdale_s                 | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 102 | boscovs                        | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 103 | buckle                         | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 104 | burlington_coat_factory        | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 105 | bw3                            | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 106 | california_pizza_kitchen       | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 107 | carrabba_s_italian_grill_flemings_outback | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 108 | cato                           | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 109 | cheesecake_factory             | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 110 | chico_s                        | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 111 | children_s_place               | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 112 | chili_s_maggiano_s_macaroni_grill_on_the_border | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 113 | claire_s                       | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 114 | coach                          | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 115 | cold_stone_creamery            | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 116 | costco                         | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 117 | cracker_barrel                 | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 118 | crate_barrel                   | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 119 | darden_olive_garden_longhorn_steakhouse | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 120 | destination_xl                 | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 121 | dollar_tree                    | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 122 | domino_s                       | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 123 | dsw_shoe_warehouse             | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 124 | eddie_bauer                    | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 125 | emagine_theaters               | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 126 | express                        | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 127 | famous_footwear                | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 128 | five_below                     | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 129 | five_guys                      | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 130 | foot_locker_champs_sports      | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 131 | fye                            | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 132 | gamestop                       | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 133 | godiva                         | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 134 | guitar_center                  | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 135 | h_m                            | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 136 | hallmark                       | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 137 | harbor_freight                 | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 138 | hobby_lobby                    | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 139 | hollister                      | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 140 | honeybaked                     | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 141 | hot_topic                      | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 142 | ihop                           | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 143 | j_alexander_s                  | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 144 | j_crew                         | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 145 | jcpenney                       | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 146 | jos_a_bank                     | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 147 | journeys                       | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 148 | kay_jewelers                   | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 149 | kendra_scott                   | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 150 | kirkland_s                     | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 151 | lids                           | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 152 | ll_bean                        | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 153 | mac                            | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 154 | maurices                       | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 155 | men_s_wearhouse                | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 156 | michael_kors                   | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 157 | michaels                       | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 158 | new_york_company               | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 159 | nike                           | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 160 | noodles_company                | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 161 | north_face                     | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 162 | olga_s                         | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 163 | o_reilly_auto                  | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 164 | origins                        | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 165 | orvis                          | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 166 | pacsun                         | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 167 | pebble_beach                   | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 168 | petco                          | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 169 | petsmart                       | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 170 | pf_chang_s                     | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 171 | pizza_hut                      | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 172 | potbelly                       | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 173 | pottery_barn_williams_sonoma   | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 174 | qdoba                          | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 175 | rainbow_shops                  | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 176 | red_lobster                    | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 177 | red_robin                      | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 178 | rei                            | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 179 | rocky_mountain_chocolate_factory | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 180 | ruth_s_chris_steakhouse        | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 181 | saks_fifth_avenue              | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 182 | sally_beauty_supply            | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 183 | sephora                        | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 184 | soma                           | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 185 | spencer_s_gifts                | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 186 | steak_n_shake                  | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 187 | sunglass_hut                   | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 188 | taco_bell                      | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 189 | talbots                        | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 190 | texas_roadhouse                | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 191 | tgi_friday_s                   | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 192 | tiffany                        | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 193 | tommy_hilfiger                 | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 194 | tractor_supply_company         | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 195 | uber                           | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 196 | ulta                           | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 197 | under_armour                   | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 198 | urban_outfitters               | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 199 | vera_bradley                   | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 200 | vitamin_shoppe                 | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 201 | von_maur                       | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 202 | walking_company                | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 203 | wendy_s                        | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 204 | west_marine                    | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 205 | white_house_black_market       | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 206 | wingstop                       | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 207 | yankee_candle                  | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 208 | zagg                           | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 209 | zales                          | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 210 | take_online                    | NC   | MISMATCH | !0.0169 | !0.1269 | !0.2731 | MISMATCH(ss=0.4580,eng='No') | tier missing from column G; defaulted to NC; e_bonus_unresolved: electronic_eligible forced False
 211 | arby_s                         | Z    | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
 212 | at_home                        | Z    | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
 213 | big_boy                        | Z    | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
 214 | bob_evans                      | Z    | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
 215 | burger_king                    | Z    | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
 216 | chipotle                       | Z    | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
 217 | circle_k                       | Z    | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
 218 | citgo                          | Z    | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
 219 | citi_trends                    | Z    | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
 220 | culver_s                       | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 221 | dairy_queen                    | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 222 | dave_and_buster_s              | Z    | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
 223 | denny_s                        | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 224 | dollar_general                 | Z    | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
 225 | dunham_s                       | Z    | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
 226 | einstein_bros_bagels           | Z    | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
 227 | food_lion                      | Z    | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
 228 | j_jill                         | Z    | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
 229 | jiffy_lube                     | Z    | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
 230 | kfc                            | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 231 | lacoste                        | Z    | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
 232 | landry_s                       | Z    | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
 233 | little_caesars                 | Z    | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
 234 | marathon                       | Z    | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
 235 | menchie_s                      | Z    | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
 236 | micro_center                   | Z    | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
 237 | mobil                          | Z    | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
 238 | ollie_s_bargain_outlet         | Z    | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
 239 | pet_supplies_plus              | Z    | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
 240 | publix                         | Z    | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
 241 | safeway_albertsons             | Z    | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
 242 | save_a_lot                     | Z    | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
 243 | spafinder_com                  | Z    | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
 244 | sunoco                         | Z    | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
 245 | tim_hortons                    | Z    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 246 | tropical_smoothie_caf          | Z    | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
 247 | windsor                        | Z    | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
 248 | zappos                         | Z    | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
 250 | andiamo                        | NC   | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
 251 | antonio_s_cucina_italiana      | NC   | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
 252 | aubree_s                       | NC   | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
 253 | biggby_coffee                  | NC   | MISMATCH | !0.1070 | !0.1070 | !0.1070 |    "No" | 
 254 | busch_s                        | NC   | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
